"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 19:26:10 GMT 2021","Mon Aug 23 19:26:11 GMT 2021","1621","","Tests.TestSearch","","Tests.TestSearch","Test_SaveResults","Keresési találatok lementése fájlba",""
"passed","Mon Aug 23 19:25:07 GMT 2021","Mon Aug 23 19:26:08 GMT 2021","61148","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Több oldalas lista bejárása.",""
"passed","Mon Aug 23 19:26:08 GMT 2021","Mon Aug 23 19:26:10 GMT 2021","1863","","Tests.TestSearch","","Tests.TestSearch","Test_SearchForWord","Adatok listázása",""
"passed","Mon Aug 23 19:24:25 GMT 2021","Mon Aug 23 19:24:32 GMT 2021","7019","","Tests.TestPreferences","","Tests.TestPreferences","Test_Language","Nyelv megváltoztatása angolról magyarra.",""
"passed","Mon Aug 23 19:24:07 GMT 2021","Mon Aug 23 19:24:12 GMT 2021","5397","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Bejelentkezés",""
"passed","Mon Aug 23 19:24:14 GMT 2021","Mon Aug 23 19:24:25 GMT 2021","11357","","Tests.TestPreferences","","Tests.TestPreferences","Test_Signature","Új aláírás létrehozása",""
"passed","Mon Aug 23 19:24:32 GMT 2021","Mon Aug 23 19:24:41 GMT 2021","8479","","Tests.TestPreferences","","Tests.TestPreferences","Test_DeleteNotification","Elnémított lapok törlése",""
"passed","Mon Aug 23 19:24:12 GMT 2021","Mon Aug 23 19:24:14 GMT 2021","1526","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Adatkezelési nyilatkozat használata",""
"passed","Mon Aug 23 19:24:41 GMT 2021","Mon Aug 23 19:24:55 GMT 2021","13977","","Tests.TestPreferences","","Tests.TestPreferences","Test_Notification","Elnémított lapok beállítása fájlból",""
"broken","Mon Aug 23 19:24:55 GMT 2021","Mon Aug 23 19:25:07 GMT 2021","12126","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Regisztráció",""
"passed","Mon Aug 23 19:23:48 GMT 2021","Mon Aug 23 19:24:07 GMT 2021","18501","","Tests.TestLogout","","Tests.TestLogout","Test_Logout","Kijelentkezés",""
